"","Year","Habitat_plant","Sample_code","Sample_code_by_core","depth","label","Tsoil","pH","GPS","site","habitat","WTD","ALD"
"2015_E_1_1_5","2015","FEN","core_1","2015_E_1_1_5","1_5","E","12.9","5.3","N 68 21.198, E 19 02.822","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2015_E_1_10_14","2015","FEN","core_1","2015_E_1_10_14","10_14","E","12","5.4","N 68 21.198, E 19 02.822","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2015_E_1_20_24","2015","FEN","core_1","2015_E_1_20_24","20_24","E","11","5.4","N 68 21.198, E 19 02.822","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2015_E_1_30_34","2015","FEN","core_1","2015_E_1_30_34","30_34","E","10","5.8","N 68 21.198, E 19 02.822","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2015_E_2_1_5","2015","FEN","core_2","2015_E_2_1_5","1_5","E","12.1",NA,"N 68 21.1982, E 19 02.8091","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2015_E_2_10_14","2015","FEN","core_2","2015_E_2_10_14","10_14","E","11",NA,"N 68 21.1982, E 19 02.8091","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2015_E_2_20_24","2015","FEN","core_2","2015_E_2_20_24","20_24","E","10.3",NA,"N 68 21.1982, E 19 02.8091","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2015_E_2_30_34","2015","FEN","core_2","2015_E_2_30_34","30_34","E","9.6",NA,"N 68 21.1982, E 19 02.8091","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2015_E_3_1_5","2015","FEN","core_3","2015_E_3_1_5","1_5","E","14.5",NA,"N 68 21.203, E 19 02.812","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2015_E_3_10_14","2015","FEN","core_3","2015_E_3_10_14","10_14","E","13.9",NA,"N 68 21.203, E 19 02.812","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2015_E_3_20_24","2015","FEN","core_3","2015_E_3_20_24","20_24","E","13.3",NA,"N 68 21.203, E 19 02.812","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2015_E_3_30_34","2015","FEN","core_3","2015_E_3_30_34","30_34","E","12.3",NA,"N 68 21.203, E 19 02.812","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2017_P_1_1_5","2017","PALSA","core_1","2017_P_1_1_5","1_5","P","14.3","gas","N 68 21.2023992, E 19 02.82643638","Palsa Autochamber Site","Palsa","Not Measured","30.0"
"2017_P_1_10_14","2017","PALSA","core_1","2017_P_1_10_14","10_14","P","10.2","gas","N 68 21.2023992, E 19 02.82643638","Palsa Autochamber Site","Palsa","Not Measured","30.0"
"2017_P_1_20_24","2017","PALSA","core_1","2017_P_1_20_24","20_24","P","7.9","gas","N 68 21.2023992, E 19 02.82643638","Palsa Autochamber Site","Palsa","Not Measured","30.0"
"2017_P_2_1_5","2017","PALSA","core_2","2017_P_2_1_5","1_5","P","13.3","gas","N 68 21.20992614, E 19 02.83310472","Palsa Autochamber Site","Palsa","Not Measured","35.0"
"2017_P_2_10_14","2017","PALSA","core_2","2017_P_2_10_14","10_14","P","10.5","gas","N 68 21.20992614, E 19 02.83310472","Palsa Autochamber Site","Palsa","Not Measured","35.0"
"2017_P_2_20_24","2017","PALSA","core_2","2017_P_2_20_24","20_24","P","8","gas","N 68 21.20992614, E 19 02.83310472","Palsa Autochamber Site","Palsa","Not Measured","35.0"
"2017_P_3_1_5","2017","PALSA","core_3","2017_P_3_1_5","1_5","P","14.6","gas","N 68 21.2105841, E 19 02.83722072","Palsa Autochamber Site","Palsa","Not Measured","31.0"
"2017_P_3_10_14","2017","PALSA","core_3","2017_P_3_10_14","10_14","P","10.5","gas","N 68 21.2105841, E 19 02.83722072","Palsa Autochamber Site","Palsa","Not Measured","31.0"
"2017_P_3_20_24","2017","PALSA","core_3","2017_P_3_20_24","20_24","P","7.7","gas","N 68 21.2105841, E 19 02.83722072","Palsa Autochamber Site","Palsa","Not Measured","31.0"
"2017_S_2_1_5","2017","BOG","core_2","2017_S_2_1_5","1_5","S","20.3","gas","N 68 21.1962438, E 19 02.84728404","Sphagnum Autochamber Site","Bog","-11.0","Below Detection (>100)"
"2017_S_2_10_14","2017","BOG","core_2","2017_S_2_10_14","10_14","S","14.8","4.3","N 68 21.1962438, E 19 02.84728404","Sphagnum Autochamber Site","Bog","-11.0","Below Detection (>100)"
"2017_S_2_20_24","2017","BOG","core_2","2017_S_2_20_24","20_24","S","13.8","4.4","N 68 21.1962438, E 19 02.84728404","Sphagnum Autochamber Site","Bog","-11.0","Below Detection (>100)"
"2017_S_2_30_34","2017","BOG","core_2","2017_S_2_30_34","30_34","S","13.4","4.3","N 68 21.1962438, E 19 02.84728404","Sphagnum Autochamber Site","Bog","-11.0","Below Detection (>100)"
"2017_S_3_1_5","2017","BOG","core_3","2017_S_3_1_5","1_5","S","21","gas","N 68 21.19724352, E 19 02.85474264","Sphagnum Autochamber Site","Bog","-13.0","Below Detection (>100)"
"2017_S_3_10_14","2017","BOG","core_3","2017_S_3_10_14","10_14","S","18.5","3.8","N 68 21.19724352, E 19 02.85474264","Sphagnum Autochamber Site","Bog","-13.0","Below Detection (>100)"
"2017_S_3_20_24","2017","BOG","core_3","2017_S_3_20_24","20_24","S","17.6","3.8","N 68 21.19724352, E 19 02.85474264","Sphagnum Autochamber Site","Bog","-13.0","Below Detection (>100)"
"2017_S_3_30_34","2017","BOG","core_3","2017_S_3_30_34","30_34","S","16.5","4.4","N 68 21.19724352, E 19 02.85474264","Sphagnum Autochamber Site","Bog","-13.0","Below Detection (>100)"
"2017_E_1_1_5","2017","FEN","core_1","2017_E_1_1_5","1_5","E","18.9","air, not poregas","N 68 21.194112, E 19 02.81954484","Eriophorum Autochamber Site","Fen","Difficult to tell, fluffy sphag layer floated in/above the water surface.","Below Detection (>100)"
"2017_E_1_10_14","2017","FEN","core_1","2017_E_1_10_14","10_14","E","17.1","5","N 68 21.194112, E 19 02.81954484","Eriophorum Autochamber Site","Fen","Difficult to tell, fluffy sphag layer floated in/above the water surface.","Below Detection (>100)"
"2017_E_1_20_24","2017","FEN","core_1","2017_E_1_20_24","20_24","E","16.3","5.1","N 68 21.194112, E 19 02.81954484","Eriophorum Autochamber Site","Fen","Difficult to tell, fluffy sphag layer floated in/above the water surface.","Below Detection (>100)"
